x-axis,1,NO_LBL
second,Volt,Volt
-4.877340E+00,,
-4.872340E+00,+20.020E-03,+498.492E-03
-4.867340E+00,+17.206E-03,+498.492E-03
-4.862340E+00,+20.020E-03,+498.492E-03
-4.857340E+00,+20.020E-03,+498.492E-03
-4.852340E+00,+20.020E-03,+498.492E-03
-4.847340E+00,+17.206E-03,+498.492E-03
-4.842340E+00,+18.814E-03,+498.492E-03
-4.837340E+00,+20.020E-03,+498.492E-03
-4.832340E+00,+20.020E-03,+492.864E-03
-4.827340E+00,+17.206E-03,+492.864E-03
-4.822340E+00,+20.020E-03,+498.492E-03
-4.817340E+00,+17.206E-03,+498.492E-03
-4.812340E+00,+20.020E-03,+498.492E-03
-4.807340E+00,+16.000E-03,+498.492E-03
-4.802340E+00,+20.020E-03,+498.492E-03
-4.797340E+00,+20.020E-03,+498.492E-03
-4.792340E+00,+16.000E-03,+498.492E-03
-4.787340E+00,+20.020E-03,+498.492E-03
-4.782340E+00,+17.206E-03,+498.492E-03
-4.777340E+00,+20.020E-03,+498.492E-03
-4.772340E+00,+20.020E-03,+492.864E-03
-4.767340E+00,+20.020E-03,+498.492E-03
-4.762340E+00,+20.020E-03,+498.492E-03
-4.757340E+00,+17.206E-03,+498.492E-03
-4.752340E+00,+20.020E-03,+498.492E-03
-4.747340E+00,+18.814E-03,+498.492E-03
-4.742340E+00,+18.814E-03,+498.492E-03
-4.737340E+00,+18.814E-03,+498.492E-03
-4.732340E+00,+17.206E-03,+498.492E-03
-4.727340E+00,+17.206E-03,+496.080E-03
-4.722340E+00,+20.020E-03,+498.492E-03
-4.717340E+00,+18.814E-03,+498.492E-03
-4.712340E+00,+18.814E-03,+498.492E-03
-4.707340E+00,+17.206E-03,+498.492E-03
-4.702340E+00,+17.206E-03,+498.492E-03
-4.697340E+00,+20.020E-03,+498.492E-03
-4.692340E+00,+17.206E-03,+498.492E-03
-4.687340E+00,+17.206E-03,+498.492E-03
-4.682340E+00,+18.814E-03,+496.080E-03
-4.677340E+00,+20.020E-03,+500.905E-03
-4.672340E+00,+18.814E-03,+498.492E-03
-4.667340E+00,+18.814E-03,+498.492E-03
-4.662340E+00,+20.020E-03,+498.492E-03
-4.657340E+00,+20.020E-03,+498.492E-03
-4.652340E+00,+17.206E-03,+498.492E-03
-4.647340E+00,+20.020E-03,+498.492E-03
-4.642340E+00,+20.020E-03,+498.492E-03
-4.637340E+00,+17.206E-03,+498.492E-03
-4.632340E+00,+20.020E-03,+496.080E-03
-4.627340E+00,+20.020E-03,+498.492E-03
-4.622340E+00,+21.226E-03,+498.492E-03
-4.617340E+00,+20.020E-03,+498.492E-03
-4.612340E+00,+20.020E-03,+498.492E-03
-4.607340E+00,+20.020E-03,+498.492E-03
-4.602340E+00,+16.000E-03,+496.080E-03
-4.597340E+00,+20.020E-03,+498.492E-03
-4.592340E+00,+18.814E-03,+498.492E-03
-4.587340E+00,+16.000E-03,+492.864E-03
-4.582340E+00,+20.020E-03,+498.492E-03
-4.577340E+00,+17.206E-03,+498.492E-03
-4.572340E+00,+18.814E-03,+498.492E-03
-4.567340E+00,+16.000E-03,+498.492E-03
-4.562340E+00,+20.020E-03,+498.492E-03
-4.557340E+00,+16.000E-03,+498.492E-03
-4.552340E+00,+20.020E-03,+498.492E-03
-4.547340E+00,+18.814E-03,+498.492E-03
-4.542340E+00,+20.020E-03,+498.492E-03
-4.537340E+00,+20.020E-03,+498.492E-03
-4.532340E+00,+20.020E-03,+498.492E-03
-4.527340E+00,+17.206E-03,+498.492E-03
-4.522340E+00,+20.020E-03,+498.492E-03
-4.517340E+00,+18.814E-03,+498.492E-03
-4.512340E+00,+18.814E-03,+492.864E-03
-4.507340E+00,+20.020E-03,+498.492E-03
-4.502340E+00,+20.020E-03,+498.492E-03
-4.497340E+00,+17.206E-03,+498.492E-03
-4.492340E+00,+20.020E-03,+498.492E-03
-4.487340E+00,+17.206E-03,+496.080E-03
-4.482340E+00,+18.814E-03,+498.492E-03
-4.477340E+00,+20.020E-03,+498.492E-03
-4.472340E+00,+18.814E-03,+498.492E-03
-4.467340E+00,+20.020E-03,+492.864E-03
-4.462340E+00,+20.020E-03,+498.492E-03
-4.457340E+00,+17.206E-03,+498.492E-03
