x-axis,1,NO_LBL
second,Volt,Volt
-2.0000000E+00,+215.2060E-03,+4.9849246E+00
-1.9998000E+00,+215.2060E-03,+4.9849246E+00
-1.9996000E+00,+215.2060E-03,+4.9849246E+00
-1.9994000E+00,+215.2060E-03,+4.9849246E+00
-1.9992000E+00,+215.2060E-03,+4.9849246E+00
-1.9990000E+00,+215.2060E-03,+4.9849246E+00
-1.9988000E+00,+134.8040E-03,+4.9849246E+00
-1.9986000E+00,+215.2060E-03,+4.9849246E+00
-1.9984000E+00,+215.2060E-03,+4.9849246E+00
-1.9982000E+00,+215.2060E-03,+4.9045226E+00
-1.9980000E+00,+215.2060E-03,+4.9849246E+00
-1.9978000E+00,+134.8040E-03,+4.9849246E+00
-1.9976000E+00,+134.8040E-03,+4.9849246E+00
-1.9974000E+00,+134.8040E-03,+4.9849246E+00
-1.9972000E+00,+134.8040E-03,+4.9045226E+00
-1.9970000E+00,+134.8040E-03,+4.9849246E+00
-1.9968000E+00,+215.2060E-03,+4.9849246E+00
-1.9966000E+00,+134.8040E-03,+4.9849246E+00
-1.9964000E+00,+134.8040E-03,+4.9849246E+00
-1.9962000E+00,+215.2060E-03,+4.9849246E+00
-1.9960000E+00,+215.2060E-03,+4.9849246E+00
-1.9958000E+00,+134.8040E-03,+4.9849246E+00
-1.9956000E+00,+134.8040E-03,+4.9849246E+00
-1.9954000E+00,+215.2060E-03,+4.9849246E+00
-1.9952000E+00,+215.2060E-03,+4.9849246E+00
-1.9950000E+00,+134.8040E-03,+4.9849246E+00
-1.9948000E+00,+215.2060E-03,+4.9849246E+00
-1.9946000E+00,+215.2060E-03,+4.9849246E+00
-1.9944000E+00,+215.2060E-03,+4.9849246E+00
-1.9942000E+00,+134.8040E-03,+4.9849246E+00
-1.9940000E+00,+134.8040E-03,+4.9045226E+00
-1.9938000E+00,+215.2060E-03,+4.9849246E+00
-1.9936000E+00,+215.2060E-03,+4.9045226E+00
-1.9934000E+00,+134.8040E-03,+4.9045226E+00
-1.9932000E+00,+215.2060E-03,+4.9849246E+00
-1.9930000E+00,+134.8040E-03,+4.9849246E+00
-1.9928000E+00,+215.2060E-03,+4.9849246E+00
-1.9926000E+00,+215.2060E-03,+4.9045226E+00
-1.9924000E+00,+134.8040E-03,+4.9849246E+00
-1.9922000E+00,+134.8040E-03,+4.9849246E+00
-1.9920000E+00,+215.2060E-03,+4.9849246E+00
-1.9918000E+00,+215.2060E-03,+4.9849246E+00
-1.9916000E+00,+134.8040E-03,+4.9849246E+00
-1.9914000E+00,+215.2060E-03,+4.9849246E+00
-1.9912000E+00,+215.2060E-03,+4.9849246E+00
-1.9910000E+00,+134.8040E-03,+4.9045226E+00
-1.9908000E+00,+134.8040E-03,+4.9849246E+00
-1.9906000E+00,+215.2060E-03,+4.9849246E+00
-1.9904000E+00,+134.8040E-03,+4.9849246E+00
-1.9902000E+00,+215.2060E-03,+4.9045226E+00
-1.9900000E+00,+215.2060E-03,+4.9849246E+00
-1.9898000E+00,+215.2060E-03,+4.9849246E+00
-1.9896000E+00,+134.8040E-03,+4.9849246E+00
-1.9894000E+00,+215.2060E-03,+4.9849246E+00
-1.9892000E+00,+134.8040E-03,+4.9849246E+00
-1.9890000E+00,+134.8040E-03,+4.9849246E+00
-1.9888000E+00,+215.2060E-03,+4.9849246E+00
-1.9886000E+00,+134.8040E-03,+4.9849246E+00
-1.9884000E+00,+215.2060E-03,+4.9849246E+00
-1.9882000E+00,+215.2060E-03,+4.9849246E+00
-1.9880000E+00,+215.2060E-03,+4.9045226E+00
-1.9878000E+00,+134.8040E-03,+4.9849246E+00
-1.9876000E+00,+134.8040E-03,+4.9849246E+00
-1.9874000E+00,+215.2060E-03,+4.9045226E+00
-1.9872000E+00,+215.2060E-03,+4.9849246E+00
-1.9870000E+00,+134.8040E-03,+4.9849246E+00
-1.9868000E+00,+134.8040E-03,+4.9849246E+00
-1.9866000E+00,+215.2060E-03,+4.9849246E+00
-1.9864000E+00,+134.8040E-03,+4.9849246E+00
-1.9862000E+00,+215.2060E-03,+4.9849246E+00
-1.9860000E+00,+3.1900804E+00,+4.9045226E+00
-1.9858000E+00,+3.1900804E+00,+4.9849246E+00
-1.9856000E+00,+3.1900804E+00,+4.9849246E+00
-1.9854000E+00,+3.1900804E+00,+4.9849246E+00
-1.9852000E+00,+3.1900804E+00,+4.9849246E+00
-1.9850000E+00,+134.8040E-03,+4.9849246E+00
-1.9848000E+00,+215.2060E-03,+4.9045226E+00
-1.9846000E+00,+215.2060E-03,+4.9045226E+00
-1.9844000E+00,+215.2060E-03,+4.9849246E+00
-1.9842000E+00,+215.2060E-03,+4.9849246E+00
-1.9840000E+00,+215.2060E-03,+4.9849246E+00
-1.9838000E+00,+215.2060E-03,+4.9849246E+00
-1.9836000E+00,+215.2060E-03,+4.9849246E+00
-1.9834000E+00,+215.2060E-03,+4.9849246E+00
-1.9832000E+00,+134.8040E-03,+4.9849246E+00
-1.9830000E+00,+215.2060E-03,+4.9849246E+00
-1.9828000E+00,+134.8040E-03,+4.9849246E+00
-1.9826000E+00,+134.8040E-03,+4.9045226E+00
-1.9824000E+00,+215.2060E-03,+4.9849246E+00
-1.9822000E+00,+215.2060E-03,+4.9849246E+00
-1.9820000E+00,+215.2060E-03,+4.9849246E+00
-1.9818000E+00,+134.8040E-03,+4.9849246E+00
-1.9816000E+00,+215.2060E-03,+4.9045226E+00
-1.9814000E+00,+134.8040E-03,+4.9849246E+00
-1.9812000E+00,+215.2060E-03,+4.9849246E+00
-1.9810000E+00,+134.8040E-03,+4.9849246E+00
-1.9808000E+00,+215.2060E-03,+4.9849246E+00
-1.9806000E+00,+215.2060E-03,+4.9849246E+00
-1.9804000E+00,+215.2060E-03,+4.9849246E+00
-1.9802000E+00,+215.2060E-03,+4.9849246E+00
-1.9800000E+00,+215.2060E-03,+4.9849246E+00
-1.9798000E+00,+215.2060E-03,+4.9849246E+00
-1.9796000E+00,+134.8040E-03,+4.9849246E+00
-1.9794000E+00,+215.2060E-03,+4.9849246E+00
-1.9792000E+00,+215.2060E-03,+4.9849246E+00
-1.9790000E+00,+215.2060E-03,+4.9849246E+00
-1.9788000E+00,+215.2060E-03,+4.9849246E+00
-1.9786000E+00,+215.2060E-03,+4.9849246E+00
-1.9784000E+00,+134.8040E-03,+4.9849246E+00
-1.9782000E+00,+215.2060E-03,+4.9849246E+00
-1.9780000E+00,+134.8040E-03,+4.9849246E+00
-1.9778000E+00,+134.8040E-03,+4.9849246E+00
-1.9776000E+00,+215.2060E-03,+4.9849246E+00
-1.9774000E+00,+134.8040E-03,+4.9849246E+00
-1.9772000E+00,+134.8040E-03,+4.9849246E+00
-1.9770000E+00,+134.8040E-03,+4.9849246E+00
-1.9768000E+00,+134.8040E-03,+4.9849246E+00
-1.9766000E+00,+215.2060E-03,+4.9849246E+00
